word	found
️	clustering_microarray_01_heatmap.Rmd:16
️	differential-expression_microarray_01_2-groups.Rmd:16
️	differential-expression_microarray_02_several-groups.Rmd:16
️	dimension-reduction_microarray_01_pca.Rmd:16
️	dimension-reduction_microarray_02_umap.Rmd:16
️	gene-id-annotation_microarray_01_ensembl.Rmd:16
️	clustering_rnaseq_01_heatmap.Rmd:16
️	differential-expression_rnaseq_01.Rmd:16
️	dimension-reduction_rnaseq_01_pca.Rmd:16
️	dimension-reduction_rnaseq_02_umap.Rmd:16
️	gene-id-annotation_rnaseq_01_ensembl.Rmd:16
️	template_example.Rmd:15
actin	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:506
ADT	dimension-reduction_rnaseq_01_pca.Rmd:96,219,286,296,304
ADT	dimension-reduction_rnaseq_02_umap.Rmd:95,231,349,366,385
affy	validate_differential_expression_adv_topics_00_author_de.Rmd:172
al	pathway_analysis_microarray_00_intro.Rmd:21,29,40,76,134
al	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:13
al	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:21,29,40,76,134
al	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:14,24,32,33,199,285,327,361,372,382,393,417
al	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:15,24
al	pathway_analysis_microarray_06_ssgsea.Rmd:15,17,23
al	validate_differential_expression_adv_topics_00_author_de.Rmd:16
al	validate_differential_expression_adv_topics_01.Rmd:26,35,37,117
AML	clustering_rnaseq_01_heatmap.Rmd:91,337
AML	differential-expression_rnaseq_01.Rmd:89,91
AnaLysis	pathway_analysis_microarray_00_intro.Rmd:133
AnaLysis	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:133
arounds	differential-expression_microarray_01_2-groups.Rmd:221
ASXL	differential-expression_rnaseq_01.Rmd:91,229,297
Azacytidine	clustering_rnaseq_01_heatmap.Rmd:337
Baumer	getting-started.Rmd:99
Benjamini	differential-expression_microarray_01_2-groups.Rmd:239
Benjamini	differential-expression_microarray_02_several-groups.Rmd:313
Benjamini	validate_differential_expression_adv_topics_00_author_de.Rmd:143
Benjamini	validate_differential_expression_adv_topics_01.Rmd:340
bioconductor	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:14
bioconductor	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:25
bioconductor	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:16
bioconductor	pathway_analysis_microarray_06_ssgsea.Rmd:25
bioconductor	validate_differential_expression_adv_topics_00_author_de.Rmd:20
Bioinformatics	00-intro-to-rnaseq.Rmd:98
Bolen	pathway_analysis_microarray_04_qusage_replicate_vignette.Rmd:13
bopxplot	validate_differential_expression_adv_topics_00_author_de.Rmd:172
Brems	dimension-reduction_microarray_01_pca.Rmd:329
CCDL	getting-started.Rmd:22,111
CCDL	00-intro-to-rnaseq.Rmd:123
CCDL	validate_differential_expression_adv_topics_01.Rmd:142
CCDL's	getting-started.Rmd:100
cheatsheet	differential-expression_microarray_02_several-groups.Rmd:518
cheatsheets	getting-started.Rmd:108
ChIP	00-intro-to-rnaseq.Rmd:76
Cmd	getting-started.Rmd:79
ColorBrewer	differential-expression_microarray_02_several-groups.Rmd:501
ComplexHeatmap	clustering_microarray_01_heatmap.Rmd:351
ComplexHeatmap	clustering_rnaseq_01_heatmap.Rmd:411
CREB	differential-expression_microarray_01_2-groups.Rmd:83,83,217,301
Crouser	getting-started.Rmd:99
cytosolic	pathway_analysis_microarray_04_qusage_replicate_vignette.Rmd:403,438
Danio	gene-id-annotation_microarray_01_ensembl.Rmd:146
Danio	gene-id-annotation_rnaseq_01_ensembl.Rmd:146
Decitabine	clustering_rnaseq_01_heatmap.Rmd:337
DESeqDataset	clustering_rnaseq_01_heatmap.Rmd:228
DESeqDataset	dimension-reduction_rnaseq_01_pca.Rmd:245
DESeqDataset	dimension-reduction_rnaseq_02_umap.Rmd:262
devtools	getting-started.Rmd:57
DGE	00-intro-to-rnaseq.Rmd:112,113
dimenstionality	dimension-reduction_rnaseq_01_pca.Rmd:350
directionality	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:469
directionality	pathway_analysis_microarray_04_qusage_replicate_vignette.Rmd:332
directionality	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:299,380
DocToc	getting-started.Rmd:12
DocToc	00-intro-to-rnaseq.Rmd:12
Dorsoventral	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:456,469
ECM	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:352,354
edgeR	00-intro-to-rnaseq.Rmd:24,121,123,125
edgeR's	00-intro-to-rnaseq.Rmd:126
eg	clustering_microarray_01_heatmap.Rmd:213
eg	gene-id-annotation_microarray_01_ensembl.Rmd:143,146
eg	clustering_rnaseq_01_heatmap.Rmd:273
eg	gene-id-annotation_rnaseq_01_ensembl.Rmd:146,149
ENSDARG	differential-expression_microarray_01_2-groups.Rmd:301
Ensembl	gene-id-annotation_microarray_01_ensembl.Rmd:2,143,155,157,222,251,278,301,305
Ensembl	ortholog_mapping_microarray_01.Rmd:65,91,98,138,141
Ensembl	pathway_analysis_microarray_00_intro.Rmd:78
Ensembl	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:78
Ensembl	pathway_analysis_microarray_04_qusage_replicate_vignette.Rmd:110
Ensembl	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:138
Ensembl	pathway_analysis_microarray_06_ssgsea.Rmd:139
Ensembl	00-intro-to-rnaseq.Rmd:118
Ensembl	gene-id-annotation_rnaseq_01_ensembl.Rmd:2,146,157,159,222,251,278,294,301,322,326,350
Ensembl	quantile_normalize_own_data_adv_topics_01.Rmd:37
Ensembl	validate_differential_expression_adv_topics_01.Rmd:65,133,135,179
ENSG	differential-expression_microarray_02_several-groups.Rmd:375
Entrez	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:66,99,103,112,180
Entrez	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:168,237,304,495
Entrez	pathway_analysis_microarray_04_qusage_replicate_vignette.Rmd:80,108,110
Entrez	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:35
Entrez	pathway_analysis_microarray_06_ssgsea.Rmd:31,36
Entrez	gene-id-annotation_rnaseq_01_ensembl.Rmd:146,159,222,251,278,294,301,322,328,350
et	pathway_analysis_microarray_00_intro.Rmd:21,29,40,76,134
et	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:13
et	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:21,29,40,76,134
et	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:14,24,32,33,199,285,327,361,372,382,393,417
et	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:15,24
et	pathway_analysis_microarray_06_ssgsea.Rmd:15,17,23
et	validate_differential_expression_adv_topics_00_author_de.Rmd:16
et	validate_differential_expression_adv_topics_01.Rmd:26,35,37,117
FACS	gene-id-annotation_rnaseq_01_ensembl.Rmd:88
FPKM	00-intro-to-rnaseq.Rmd:96
functionalize	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:91
GC	00-intro-to-rnaseq.Rmd:46,46
GEne	pathway_analysis_microarray_00_intro.Rmd:133
GEne	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:133
generalizable	validate_differential_expression_adv_topics_01.Rmd:35
genesets	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:18
genesets	pathway_analysis_microarray_04_qusage_replicate_vignette.Rmd:77
ggplot	differential-expression_microarray_02_several-groups.Rmd:518
Github	ortholog_mapping_microarray_01.Rmd:19,41
glioma	gene-id-annotation_microarray_01_ensembl.Rmd:83,85
grey	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:469
GSE	quantile_normalize_own_data_adv_topics_01.Rmd:234
GSE	validate_differential_expression_adv_topics_00_author_de.Rmd:2,10
GSEA	pathway_analysis_microarray_00_intro.Rmd:13
GSEA	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:13
GSEA	pathway_analysis_microarray_06_ssgsea.Rmd:13
HCOP	ortholog_mapping_microarray_01.Rmd:10
hexamer	00-intro-to-rnaseq.Rmd:75
HGNC	ortholog_mapping_microarray_01.Rmd:10
histological	dimension-reduction_microarray_01_pca.Rmd:287,308
histological	dimension-reduction_microarray_02_umap.Rmd:288,309
Hochberg	differential-expression_microarray_01_2-groups.Rmd:239
Hochberg	differential-expression_microarray_02_several-groups.Rmd:313
Hochberg	validate_differential_expression_adv_topics_00_author_de.Rmd:143
Hochberg	validate_differential_expression_adv_topics_01.Rmd:340
hypomethylating	clustering_rnaseq_01_heatmap.Rmd:337
IDH	clustering_rnaseq_01_heatmap.Rmd:337
Illumina	00-intro-to-rnaseq.Rmd:75
Interation	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:354
IRF	pathway_analysis_microarray_04_qusage_replicate_vignette.Rmd:453
isoform	00-intro-to-rnaseq.Rmd:130
isoforms	00-intro-to-rnaseq.Rmd:25,128,130
jpeg	clustering_rnaseq_01_heatmap.Rmd:317
KEGG	pathway_analysis_microarray_00_intro.Rmd:103
KEGG	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:2,20,22,24,64,66,178,180
KEGG	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:103
KEGG	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:168,355,437,456,469
KEGG	pathway_analysis_microarray_04_qusage_replicate_vignette.Rmd:80
KEGG	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:31,247,352,354,382,384,403
KEGG	pathway_analysis_microarray_06_ssgsea.Rmd:31,238,314
Khatri	pathway_analysis_microarray_00_intro.Rmd:29
Khatri	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:29
knowledgebase	pathway_analysis_microarray_00_intro.Rmd:103
knowledgebase	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:103
limma	differential-expression_microarray_01_2-groups.Rmd:357,357
limma	differential-expression_microarray_02_several-groups.Rmd:281,297,515,515
limma	validate_differential_expression_adv_topics_00_author_de.Rmd:20,22,128
logFC	validate_differential_expression_adv_topics_01.Rmd:363
medulloblastoma	differential-expression_microarray_02_several-groups.Rmd:83,83,237
medulloblastoma	dimension-reduction_microarray_01_pca.Rmd:83,85,200,266
medulloblastoma	dimension-reduction_microarray_02_umap.Rmd:83,85,221
medulloblastoma	pathway_analysis_microarray_00_intro.Rmd:35
medulloblastoma	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:35
medulloblastoma	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:2,31
medulloblastoma	validate_differential_expression_adv_topics_00_author_de.Rmd:10,13
medulloblastoma	validate_differential_expression_adv_topics_01.Rmd:25,35,36,307
Meng	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:24
molecularly	dimension-reduction_microarray_01_pca.Rmd:266
MSigDB	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:18,22,66
MSigDB	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:163,168
MSigDB	pathway_analysis_microarray_04_qusage_replicate_vignette.Rmd:20,78,80
MSigDB	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:29,30
MSigDB	pathway_analysis_microarray_06_ssgsea.Rmd:34
musculus	gene-id-annotation_microarray_01_ensembl.Rmd:143
musculus	gene-id-annotation_rnaseq_01_ensembl.Rmd:149
myeloid	clustering_rnaseq_01_heatmap.Rmd:89,91
myeloid	differential-expression_rnaseq_01.Rmd:89
NA's	gene-id-annotation_microarray_01_ensembl.Rmd:278,282
NA's	gene-id-annotation_rnaseq_01_ensembl.Rmd:278
NAR	pathway_analysis_microarray_00_intro.Rmd:21,134
NAR	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:13
NAR	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:21,134
NAR	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:14
NAR	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:15
NAR	pathway_analysis_microarray_06_ssgsea.Rmd:15
nb	getting-started.Rmd:44
Northcott	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:32,199,327,361,372,417,451,484
Northcott	validate_differential_expression_adv_topics_00_author_de.Rmd:16
Northcott	validate_differential_expression_adv_topics_01.Rmd:26,35,115,117,307,328,387
ortholog	ortholog_mapping_microarray_01.Rmd:10
Ortholog	ortholog_mapping_microarray_01.Rmd:2
orthologs	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:2,22,112
Orthology	ortholog_mapping_microarray_01.Rmd:10
Orthology	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:24
overexpressing	differential-expression_microarray_01_2-groups.Rmd:83,301
overexpression	differential-expression_microarray_01_2-groups.Rmd:83
pheatmap	clustering_microarray_01_heatmap.Rmd:350
pheatmap	clustering_rnaseq_01_heatmap.Rmd:410
PLoS	pathway_analysis_microarray_00_intro.Rmd:29
PLoS	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:29
PLoS	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:24
PLX	clustering_microarray_01_heatmap.Rmd:85,276
PNAS	pathway_analysis_microarray_06_ssgsea.Rmd:17
png	clustering_rnaseq_01_heatmap.Rmd:315,390
png	validate_differential_expression_adv_topics_01.Rmd:446,476,517
polymerase	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:194
pre	00-intro-to-rnaseq.Rmd:39
pre	clustering_rnaseq_01_heatmap.Rmd:250
pre	differential-expression_rnaseq_01.Rmd:309
pre	dimension-reduction_rnaseq_01_pca.Rmd:96,219,262
pre	dimension-reduction_rnaseq_02_umap.Rmd:95,231,279,385
pre	validate_differential_expression_adv_topics_01.Rmd:135
probesets	00-intro-to-rnaseq.Rmd:40
probesets	validate_differential_expression_adv_topics_01.Rmd:179,210
prostatectomy	dimension-reduction_rnaseq_01_pca.Rmd:96
prostatectomy	dimension-reduction_rnaseq_02_umap.Rmd:95
PRPS	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:154
QN	quantile_normalize_own_data_adv_topics_01.Rmd:13,47,49,61,130
qusage	pathway_analysis_microarray_04_qusage_replicate_vignette.Rmd:274
QuSAGE	pathway_analysis_microarray_00_intro.Rmd:13
QuSAGE	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:13
QuSAGE	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:13
QuSAGE	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:2,13,437
QuSAGE	pathway_analysis_microarray_04_qusage_replicate_vignette.Rmd:2
QuSAGE	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:2,13
QuSAGE	pathway_analysis_microarray_06_ssgsea.Rmd:13,47,366
README	getting-started.Rmd:41
README	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:166
refinebio	getting-started.Rmd:34
refinebio	differential-expression_microarray_01_2-groups.Rmd:356
refinebio	differential-expression_microarray_02_several-groups.Rmd:514
REFINEBIO	template_example.Rmd:24,67,91
rerio	gene-id-annotation_microarray_01_ensembl.Rmd:146
rerio	gene-id-annotation_rnaseq_01_ensembl.Rmd:146
ribosomes	pathway_analysis_microarray_00_intro.Rmd:170
ribosomes	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:170
RMA	quantile_normalize_own_data_adv_topics_01.Rmd:37,234
Rmd	getting-started.Rmd:44,92
Rmd	clustering_microarray_01_heatmap.Rmd:107
Rmd	differential-expression_microarray_01_2-groups.Rmd:106
Rmd	differential-expression_microarray_02_several-groups.Rmd:106
Rmd	dimension-reduction_microarray_01_pca.Rmd:110
Rmd	dimension-reduction_microarray_02_umap.Rmd:109
Rmd	clustering_rnaseq_01_heatmap.Rmd:112
Rmd	dimension-reduction_rnaseq_01_pca.Rmd:118
Rmd	dimension-reduction_rnaseq_02_umap.Rmd:117
Rmd	template_example.Rmd:114
Rmds	getting-started.Rmd:90
RPKMs	00-intro-to-rnaseq.Rmd:96
SeT	pathway_analysis_microarray_00_intro.Rmd:133
SeT	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:133
softwares	clustering_microarray_01_heatmap.Rmd:355
softwares	differential-expression_microarray_01_2-groups.Rmd:364
softwares	differential-expression_microarray_02_several-groups.Rmd:523
softwares	dimension-reduction_microarray_01_pca.Rmd:336
softwares	dimension-reduction_microarray_02_umap.Rmd:334
softwares	gene-id-annotation_microarray_01_ensembl.Rmd:348
softwares	clustering_rnaseq_01_heatmap.Rmd:415
softwares	differential-expression_rnaseq_01.Rmd:457
softwares	dimension-reduction_rnaseq_01_pca.Rmd:354
softwares	dimension-reduction_rnaseq_02_umap.Rmd:418
softwares	gene-id-annotation_rnaseq_01_ensembl.Rmd:378
softwares	template_example.Rmd:222
ssGSEA	pathway_analysis_microarray_06_ssgsea.Rmd:2,13,264,266,278,287,310,318,372,374
StatQuest	differential-expression_rnaseq_01.Rmd:452
StatsQuest	00-intro-to-rnaseq.Rmd:71,99,109
str	differential-expression_rnaseq_01.Rmd:258
submitters	quantile_normalize_own_data_adv_topics_01.Rmd:37
Subramanian	pathway_analysis_microarray_06_ssgsea.Rmd:17
subtype	differential-expression_microarray_02_several-groups.Rmd:237,283
subtype	dimension-reduction_microarray_01_pca.Rmd:287,308
subtype	dimension-reduction_microarray_02_umap.Rmd:288,309
subtypes	differential-expression_microarray_02_several-groups.Rmd:83,283
SuperSeries	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:223
TPM	00-intro-to-rnaseq.Rmd:96
TPMs	00-intro-to-rnaseq.Rmd:91
transcriptional	dimension-reduction_rnaseq_01_pca.Rmd:286
transcriptome	00-intro-to-rnaseq.Rmd:75
transcriptomic	getting-started.Rmd:28
transcriptomic	pathway_analysis_microarray_00_intro.Rmd:13
transcriptomic	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:13
tsv	ortholog_mapping_microarray_01.Rmd:79,124
tsv	validate_differential_expression_adv_topics_01.Rmd:525
tximport	00-intro-to-rnaseq.Rmd:81
ucture	differential-expression_rnaseq_01.Rmd:256
UMAP	dimension-reduction_microarray_02_umap.Rmd:2,14,145,152,158,180,219,221,223,247,265,312,328,329,330
UMAP	dimension-reduction_rnaseq_02_umap.Rmd:2,14,158,164,231,300,302,306,322,331,333,387,389,392,399,412
UMAP's	dimension-reduction_rnaseq_02_umap.Rmd:389
unmapped	gene-id-annotation_rnaseq_01_ensembl.Rmd:278
upregulated	pathway_analysis_microarray_00_intro.Rmd:78
upregulated	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:78
vivo	clustering_rnaseq_01_heatmap.Rmd:337
WebGestalt	pathway_analysis_microarray_00_intro.Rmd:132,133,137,170,176
WebGestalt	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:132,133,137,170,176
WebGestaltR	pathway_analysis_microarray_00_intro.Rmd:2,118
WebGestaltR	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:2,118
WNT	differential-expression_microarray_02_several-groups.Rmd:375
WNT	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:327
Yaari	pathway_analysis_microarray_00_intro.Rmd:21
Yaari	pathway_analysis_microarray_01_ortholog_mapping_kegg.Rmd:13
Yaari	pathway_analysis_microarray_02_ora_with_webgestaltr.Rmd:21
Yaari	pathway_analysis_microarray_03_qusage_meta_analysis.Rmd:14
Yaari	pathway_analysis_microarray_05_qusage_single_dataset.Rmd:15,24
Yaari	pathway_analysis_microarray_06_ssgsea.Rmd:15
zebrafish	differential-expression_microarray_01_2-groups.Rmd:83,83
zebrafish	ortholog_mapping_microarray_01.Rmd:65,67,98,138,141
zebrafish	gene-id-annotation_rnaseq_01_ensembl.Rmd:86,88,159
zebrafish	quantile_normalize_own_data_adv_topics_01.Rmd:61,67
Zebrafish	gene-id-annotation_microarray_01_ensembl.Rmd:146
Zebrafish	gene-id-annotation_rnaseq_01_ensembl.Rmd:146
Zenodo	validate_differential_expression_adv_topics_01.Rmd:144
